team,average_injuries,serious_injury_probability,most_affected_position
Czechia,2.2,0.6,TEAM
England,2.2,0.8,TEAM
Senegal,2.0,0.2,TEAM
Algeria,2.0,0.8,TEAM
Ivory Coast,1.8,0.8,TEAM
United States,1.8,0.6,TEAM
Iraq,1.8,0.8,TEAM
Canada,1.6,0.2,TEAM
DR Congo,1.6,0.0,TEAM
South Africa,1.6,0.0,TEAM
Switzerland,1.4,0.4,TEAM
Croatia,1.4,0.2,TEAM
Korea Republic,1.4,0.0,TEAM
Qatar,1.4,0.2,TEAM
Germany,1.2,0.4,TEAM
Haiti,1.2,0.6,TEAM
France,1.2,0.2,TEAM
Portugal,1.2,0.4,TEAM
Japan,1.2,0.4,TEAM
Belgium,1.2,0.2,TEAM
Morocco,1.0,0.4,TEAM
Paraguay,1.0,0.0,TEAM
Bosnia and Herzegovina,1.0,0.4,TEAM
Turkiye,1.0,0.2,TEAM
Jordan,1.0,0.2,TEAM
Norway,1.0,0.0,TEAM
Netherlands,1.0,0.0,TEAM
Uzbekistan,1.0,0.2,TEAM
Egypt,1.0,0.6,TEAM
Uruguay,1.0,0.4,TEAM
Brazil,0.8,0.2,TEAM
Mexico,0.8,0.2,TEAM
Spain,0.8,0.2,TEAM
Ecuador,0.8,0.0,TEAM
Sweden,0.8,0.0,TEAM
Panama,0.8,0.0,TEAM
Tunisia,0.8,0.0,TEAM
Cape Verde,0.8,0.0,TEAM
Australia,0.6,0.2,TEAM
Scotland,0.6,0.2,TEAM
Austria,0.6,0.2,TEAM
New Zealand,0.6,0.4,TEAM
IR Iran,0.6,0.4,TEAM
Curacao,0.6,0.0,TEAM
Ghana,0.4,0.0,TEAM
Colombia,0.4,0.0,TEAM
Saudi Arabia,0.2,0.0,TEAM
Argentina,0.2,0.0,TEAM
