team,group_stage_exit_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,group_stage_exit_probability_standard_error,group_stage_exit_probability_ci_low,group_stage_exit_probability_ci_high,round_of_32_probability_standard_error,round_of_32_probability_ci_low,round_of_32_probability_ci_high,round_of_16_probability_standard_error,round_of_16_probability_ci_low,round_of_16_probability_ci_high,quarter_final_probability_standard_error,quarter_final_probability_ci_low,quarter_final_probability_ci_high,semi_final_probability_standard_error,semi_final_probability_ci_low,semi_final_probability_ci_high,final_probability_standard_error,final_probability_ci_low,final_probability_ci_high,champion_probability_standard_error,champion_probability_ci_low,champion_probability_ci_high,simulations_used
Mexico,0.12,0.88,0.46,0.18,0.08,0.06,0.0,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.04595650117230423,0.7899252577022837,0.9700747422977163,0.07048404074682439,0.3218512801362242,0.5981487198637758,0.054332310828824504,0.07350867077550396,0.28649132922449605,0.03836665218650176,0.0048013617144565535,0.15519863828554345,0.03358571124749333,0.0,0.12582799404508693,0.0,0.0,0.0,50
South Africa,0.45999999999999996,0.54,0.18,0.02,0.0,0.0,0.0,0.07048404074682439,0.32185128013622416,0.5981487198637758,0.07048404074682439,0.40185128013622423,0.6781487198637759,0.054332310828824504,0.07350867077550396,0.28649132922449605,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
Korea Republic,0.36,0.64,0.34,0.14,0.12,0.08,0.0,0.06788225099390856,0.22695078805193922,0.49304921194806073,0.06788225099390856,0.5069507880519393,0.7730492119480608,0.0669925368977769,0.2086946276803573,0.47130537231964276,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.04595650117230423,0.0299252577022837,0.21007474229771628,0.03836665218650176,0.0048013617144565535,0.15519863828554345,0.0,0.0,0.0,50
Czechia,0.30000000000000004,0.7,0.4,0.14,0.04,0.02,0.0,0.06480740698407861,0.17297748231120597,0.4270225176887941,0.06480740698407861,0.5729774823112059,0.827022517688794,0.06928203230275509,0.2642072166866001,0.5357927833134,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.027712812921102035,0.0,0.09431711332536,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Canada,0.28,0.72,0.28,0.14,0.04,0.02,0.0,0.06349803146555018,0.15554385832752168,0.40445614167247834,0.06349803146555018,0.5955438583275217,0.8444561416724783,0.06349803146555018,0.15554385832752168,0.40445614167247834,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.027712812921102035,0.0,0.09431711332536,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Bosnia and Herzegovina,0.5800000000000001,0.42,0.14,0.02,0.02,0.02,0.0,0.06979971346646059,0.4431925616057373,0.7168074383942629,0.06979971346646059,0.28319256160573725,0.5568074383942627,0.04907137658554119,0.043820101892339286,0.23617989810766074,0.01979898987322333,0.0,0.05880602015151773,0.01979898987322333,0.0,0.05880602015151773,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Qatar,0.26,0.74,0.28,0.1,0.04,0.02,0.0,0.06203224967708329,0.13841679063291676,0.38158320936708323,0.06203224967708329,0.6184167906329168,0.8615832093670832,0.06349803146555018,0.15554385832752168,0.40445614167247834,0.042426406871192854,0.016844242532462014,0.18315575746753798,0.027712812921102035,0.0,0.09431711332536,0.01979898987322333,0.0,0.05880602015151773,0.0,0.0,0.0,50
Switzerland,0.26,0.74,0.5,0.26,0.1,0.06,0.0,0.06203224967708329,0.13841679063291676,0.38158320936708323,0.06203224967708329,0.6184167906329168,0.8615832093670832,0.07071067811865475,0.3614070708874367,0.6385929291125634,0.06203224967708329,0.13841679063291676,0.38158320936708323,0.042426406871192854,0.016844242532462014,0.18315575746753798,0.03358571124749333,0.0,0.12582799404508693,0.0,0.0,0.0,50
Brazil,0.18000000000000005,0.82,0.62,0.38,0.2,0.1,0.0,0.054332310828824504,0.07350867077550402,0.28649132922449605,0.054332310828824504,0.713508670775504,0.926491329224496,0.06864400920692205,0.4854577419544328,0.7545422580455672,0.06864400920692205,0.2454577419544328,0.5145422580455672,0.05656854249492381,0.08912565670994935,0.3108743432900507,0.042426406871192854,0.016844242532462014,0.18315575746753798,0.0,0.0,0.0,50
Haiti,0.5800000000000001,0.42,0.08,0.0,0.0,0.0,0.0,0.06979971346646059,0.4431925616057373,0.7168074383942629,0.06979971346646059,0.28319256160573725,0.5568074383942627,0.03836665218650176,0.0048013617144565535,0.15519863828554345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
