team,group_stage_exit_probability,round_of_32_probability,round_of_16_probability,quarter_final_probability,semi_final_probability,final_probability,champion_probability,group_stage_exit_probability_standard_error,group_stage_exit_probability_ci_low,group_stage_exit_probability_ci_high,round_of_32_probability_standard_error,round_of_32_probability_ci_low,round_of_32_probability_ci_high,round_of_16_probability_standard_error,round_of_16_probability_ci_low,round_of_16_probability_ci_high,quarter_final_probability_standard_error,quarter_final_probability_ci_low,quarter_final_probability_ci_high,semi_final_probability_standard_error,semi_final_probability_ci_low,semi_final_probability_ci_high,final_probability_standard_error,final_probability_ci_low,final_probability_ci_high,champion_probability_standard_error,champion_probability_ci_low,champion_probability_ci_high,simulations_used
Mexico,0.19999999999999996,0.8,0.0,0.0,0.0,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
South Africa,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Korea Republic,0.19999999999999996,0.8,0.4,0.4,0.2,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Czechia,0.19999999999999996,0.8,0.2,0.2,0.0,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Canada,0.19999999999999996,0.8,0.4,0.2,0.2,0.2,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,5
Bosnia and Herzegovina,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Qatar,0.19999999999999996,0.8,0.6,0.2,0.0,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.17058551491594975,1.0,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Switzerland,0.0,1.0,0.6,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Brazil,0.19999999999999996,0.8,0.2,0.2,0.2,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Haiti,0.4,0.6,0.4,0.2,0.2,0.0,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Morocco,0.0,1.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Scotland,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
United States,0.4,0.6,0.6,0.2,0.2,0.0,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.17058551491594975,1.0,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Australia,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Paraguay,0.6,0.4,0.4,0.2,0.2,0.2,0.0,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,5
Turkiye,0.19999999999999996,0.8,0.4,0.2,0.0,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Germany,0.4,0.6,0.4,0.4,0.2,0.0,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,5
Ecuador,0.8,0.2,0.2,0.0,0.0,0.0,0.0,0.17888543819998315,0.44938454112803305,1.0,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Ivory Coast,0.0,1.0,0.8,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,5
Curacao,0.4,0.6,0.4,0.2,0.2,0.2,0.0,0.21908902300206645,0.0,0.8294144850840502,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,5
Netherlands,0.19999999999999996,0.8,0.6,0.2,0.2,0.2,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.17058551491594975,1.0,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,5
Japan,0.19999999999999996,0.8,0.4,0.2,0.0,0.0,0.0,0.17888543819998315,0.0,0.550615458871967,0.17888543819998315,0.44938454112803305,1.0,0.21908902300206645,0.0,0.8294144850840502,0.1788854381999832,0.0,0.5506154588719672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
Sweden,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.21908902300206645,0.17058551491594975,1.0,0.21908902300206645,0.0,0.8294144850840502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
